Quote_TR,,Author,Topic
Bazıları onları çılgın olarak görse de biz dahileri görüyoruz. Çünkü dünyayı değiştirebileceklerini düşünecek kadar çılgın insanlar bunu yapanlardır.,"While some may see them as the crazy ones, we see genius. Because the people who are crazy enough to think they can change the world, are the ones who do.",,
Sevinç matematiğin temellerine aykırıdır: Böldüğümüzde çoğalır.,Joy goes against the foundations of mathematics: it multiplies when we divide.,,
Karşılaştırma neşenin hırsızıdır.,Comparison is the thief of joy.,,
"Sevinç, kendimize şeylerin gerçekte ne kadar iyi olduğunu fark etmemize izin verdiğimizde başımıza gelen şeydir.",Joy is what happens to us when we allow ourselves to recognize how good things really are.,,
Koşulsuz sevmeyi öğrenin. Kötü niyet olmadan konuşun. Hiçbir sebep göstermeden ver. Ve hepsinden önemlisi hiçbir beklenti olmadan insanlarla ilgilenin.,"Learn to love without condition. Talk without bad intention. Give without any reason. And most of all, care for people without any expectation.",,
Bazen en sert kabukları kıran güç değil nezakettir.,Sometimes its not the strength but gentleness that cracks the hardest shells.,,
"Mükemmellik, başkalarının akıllıca olduğunu düşündüğünden daha fazla önemsemenin, başkalarının güvenli olduğunu düşündüğünden daha fazlasını riske atmanın, başkalarının pratik olduğunu düşündüğünden daha fazlasını hayal etmenin ve başkalarının mümkün olduğunu düşündüğünden daha fazlasını beklemenin sonucudur.","Excellence is the result of caring more than others think is wise, risking more than others think is safe, dreaming more than others think is practical, and expecting more than others think is possible.",,
"Bağlılık olmadan, ister bir ilişki, ister bir iş, ister bir hobi olsun, hiçbir şeyde derinliğe sahip olamazsınız.","Without commitment, you cannot have depth in anything, whether it's a relationship, a business or a hobby.",,
"İlgi ile bağlılık arasında fark vardır. Bir şeyi yapmak ilginizi çekiyorsa, onu yalnızca uygun olduğunuzda yaparsınız. Bir şeye kendinizi adadığınızda hiçbir mazereti kabul etmezsiniz; yalnızca sonuçları kabul edersiniz.","There's a difference between interest and commitment. When you're interested in doing something, you do it only when it's convenient. When you're committed to something, you accept no excuses - only results.",,
Bağlılıkla ilgili yalnızca iki seçenek vardır. Ya içeridesindir ya da dışarıdasın. Arada yaşam diye bir şey yok.,There are only two options regarding commitment. You're either in or you're out. There's no such thing as life in-between.,,
Fırtınada durdu ve rüzgar ona doğru esmediğinde yelkenlerini ayarladı.,"She stood in the storm, and when the wind did not blow her way, she adjusted her sails.",,
"Hayatın amacı mutlu olmak değildir. Yararlı olmak, onurlu olmak, şefkatli olmak, iyi yaşamış ve yaşamış olmanızın bir fark yaratmasını sağlamaktır.","The purpose of life is not to be happy. It is to be useful, to be honorable, to be compassionate, to have it make some difference that you have lived and lived well.",,
Bir gemi limanda güvendedir ama gemilerin amacı bu değildir.,"A ship is safe in harbor, but that's not what ships are for.",,
Ateş yakmak için iki çakmaktaşı gerekir.,It takes two flints to make a fire.,,
"İtibarınızdan çok karakterinizle ilgilenin, çünkü karakteriniz gerçekte olduğunuz kişidir, itibarınız ise yalnızca başkalarının sizin hakkınızda düşündüğü şeydir.","Be more concerned with your character than your reputation, because your character is what you really are, while your reputation is merely what others think you are.",,
"Beş şeyi her koşulda uygulamak mükemmel bir erdemdir; bu beşi ciddiyet, ruhun cömertliği, samimiyet, ciddiyet ve nezakettir.","To practice five things under all circumstances constitutes perfect virtue; these five are gravity, generosity of soul, sincerity, earnestness, and kindness.",,
Bir ons pratik genellikle bir ton teoriden daha değerlidir.,An ounce of practice is generally worth more than a ton of theory.,,
Vücudunuza iyi bakın. Yaşamak zorunda olduğun tek yer orası.,Take care of your body. It's the only place you have to live.,,
"Cömert bir yürek, güzel bir konuşma, hizmet ve şefkat dolu bir hayat insanlığı yenileyen şeylerdir.","A generous heart, kind speech, and a life of service and compassion are the things which renew humanity.",,
Dünyanın çıplak ayaklarınızı hissetmekten hoşlandığını ve rüzgarların saçlarınızla oynamayı özlediğini unutmayın.,Forget not that the earth delights to feel your bare feet and the winds long to play with your hair.,,
"Kişisel sorumluluk almalısınız. Koşulları, mevsimleri veya rüzgarı değiştiremezsiniz ama kendinizi değiştirebilirsiniz. Bu senin sorumluluğunda olan bir şey.","You must take personal responsibility. You cannot change the circumstances, the seasons, or the wind, but you can change yourself. That is something you have charge of.",,
Bir kişinin karakterinin nihai oluşumu kendi ellerindedir.,The final forming of a person's character lies in their own hands.,,
"Hayatınızın sorumluluğunu kabul edin. Seni gitmek istediğin yere götürecek olanın sen olduğunu bil, başkası değil.","Accept responsibility for your life. Know that it is you who will get you where you want to go, no one else.",,
"Gerçek güzellik saçınızın rengiyle veya gözlerinizin rengiyle ilgili değildir. Gerçek güzellik, insan olarak kim olduğunuzla, ilkelerinizle ve ahlaki pusulanızla ilgilidir.","True beauty is not related to what color your hair is or what color your eyes are. True beauty is about who you are as a human being, your principles, your moral compass.",,
"İyi işlerimizi yaparken, gerçek çözümün hayırseverliğin gereksiz hale geldiği bir dünyada yattığını unutmayalım.",While we do our good works let us not forget that the real solution lies in a world in which charity will have become unnecessary.,,
Sevgi ancak paylaştıkça büyür. Kendiniz için ancak başkalarına vererek daha fazlasına sahip olabilirsiniz.,Love only grows by sharing. You can only have more for yourself by giving it away to others.,,
Dünyaya gidin ve iyi şeyler yapın. Ama daha da önemlisi dünyaya gidin ve iyilik yapın.,"Go into the world and do well. But more importantly, go into the world and do good.",,
"Birisi için bir şey yapmak yerine, herkes için her şeyi yapabilecek duruma gelene kadar beklerseniz, hiç kimse için hiçbir şey yapmamaya başlarsınız.","If you wait until you can do everything for everybody, instead of something for somebody, you'll end up not doing anything for anybody.",,
Barış içten gelir. Onsuz aramayın.,Peace comes from within. Do not seek it without.,,
"Yaşamları çevrelerindeki herkesi etkileyen insanlar var. Sessizce bir kalbe dokunuyorum, o da diğerine dokunuyor. Bilmeyecekleri kadar uzak sonlara ulaşmak.","There are those whose lives affect all others around them. Quietly touching one heart, who in turn, touches another. Reaching out to ends further than they would ever know.",,
Öğreneceğiniz en güzel şey sadece sevmek ve karşılığında sevilmektir.,The greatest thing you'll ever learn is just to love and be loved in return.,,
Hiçbir yaprak birbirine benzemez ama yine de aralarında ya da üzerinde büyüdükleri dallar arasında bir düşmanlık yoktur.,"No two leaves are alike, and yet there is no antagonism between them or between the branches on which they grow.",,
"Eşitlik farklı şeylere aynı şekilde bakmak değil, eşitlik farklı şeylere farklı bakmaktır.","Equality is not in regarding different things similarly, equality is in regarding different things differently.",,
"Hepimizin peşinden koşacağı kendi hayatı, kendi öreceği hayalleri var ve inanmaya devam ettiğimiz sürece hepimiz dilekleri gerçekleştirme gücüne sahibiz.","We all have our own life to pursue, our own kind of dream to be weaving, and we all have the power to make wishes come true, as long as we keep believing.",,
Harika şeyler başarmak kaderinizde olduğuna kalbinizin derinliklerinden inanın.,Believe deep down in your heart that you're destined to do great things.,,
"Aklım tasavvur edebiliyorsa, kalbim inanabiliyorsa, başarabileceğimi biliyorum!","If my mind can conceive it, my heart can believe it, I know I can achieve it!",,
"Büyük şeyler yapamıyorsanız, küçük şeyleri harika bir şekilde yapın.","If you can't do great things, do small things in a great way.",,
Olduğun gibi olmaya cesaret et ve olmadığın her şeyden büyük bir nezaketle vazgeçmeyi ve kendi bireyselliğine inanmayı öğren.,"Dare to be what you are, and learn to resign with a good grace all that you are not and to believe in your own individuality.",,
Bir nehri insanlar için bu kadar huzurlu kılan şey hiçbir şüphesinin olmamasıdır; gittiği yere varacağından emindir ve başka hiçbir yere gitmek istemez.,"What makes a river so restful to people is that it doesn't have any doubt - it is sure to get where it is going, and it doesn't want to go anywhere else.",,
"Gece gündüz seni herkes yapmak için elinden geleni yapan bir dünyada kendin olarak kalabilmek, bir insanın verebileceği en zorlu savaşı vermek demektir; ve asla mücadeleyi bırakma.","To be nobody but yourself in a world which is doing its best, night and day, to make you everybody else means to fight the hardest battle which any human being can fight; and never stop fighting.",,
Gerçek bir arkadaş zayıf yönlerinizi bilir ama size güçlü yönlerinizi gösterir; korkularınızı hisseder ama inancınızı güçlendirir; kaygılarınızı görür ama ruhunuzu özgürleştirir; engellerinizi tanır ancak olasılıklarınızı vurgular.,A true friend knows your weaknesses but shows you your strengths; feels your fears but fortifies your faith; sees your anxieties but frees your spirit; recognizes your disabilities but emphasizes your possibilities.,,
"Belki de iyi yaşamanın sırrı tüm cevaplara sahip olmakta değil, iyi bir eşlikçiyle cevaplanamayan soruların peşinden gitmektedir.",Perhaps the secret of living well is not in having all the answers but in pursuing unanswerable questions in good company.,,
"Gerçek arkadaş, senin biraz çatlak olduğunu bilmesine rağmen senin iyi bir yumurta olduğunu düşünen kişidir.",A true friend is someone who thinks that you are a good egg even though he knows that you are slightly cracked.,,
"Aile, akla gelebilecek her bakımdan geçmişimizle bir bağlantıdır, geleceğimize bir köprüdür.","In every conceivable manner, the family is link to our past, bridge to our future.",,
Görmek isteyenler için her zaman çiçekler vardır.,There are always flowers for those who want to see them.,,
"Unutmayın, umut iyi bir şeydir, belki de en iyi şeydir ve hiçbir iyi şey asla ölmez.","Remember, hope is a good thing, maybe the best of things, and no good thing ever dies.",,
"Zaman bekleyenler için çok yavaş, korkanlar için çok hızlı, yas tutanlar için çok uzun, sevinenler için çok kısadır ama sevenler için zaman sonsuzluktur.","Time is too slow for those who wait, too swift for those who fear, too long for those who grieve, too short for those who rejoice, but for those who love, time is eternity.",,
